song_id,artist,title,country,lyrics
4FbpUlIwMiWiqP8fUhDbW2,Ingebjørg Bratland,Ingen som du,NO,
7L4SouE5o2ggfNMNhfpKcI,Plumbo,Ting på gli,NO,
2jV1rc8jcSxiqNrUPfmc9A,Vassendgutane,Ronny Ponny,NO,
6iA3KyiC4RxcwjlUnRrhjU,Cir.Cuz,Supernova (feat. Julie Bergan),NO,
1l8x87WZjZqv7uWCdJrpn0,Paulo & Jean,Namora Cmg Rapidão - Ao Vivo,BR,
0rZvbEdso16795Tv2Dw30J,Lauana Prado,Trilha - Ao Vivo,BR,
5MhXbTW4Jey2v0y7Nb80DF,Loubet,Só o Bagaço,BR,
1TJWV70XSJSPhIHXomGIFs,Lagum,Transante,BR,
5q0NlM6Pm8Pp3orq7zGiRn,Matheus & Kauan,Quarta Cadeira - Ao Vivo,BR,
4rtNvUYIEOf8HhNCx5x1Eo,Fernandinho,Mais Alto - Ao Vivo,BR,
0nWhvEGfDmIuz6ujMPaMBn,Alok,Innocent (feat. Gavin James),BR,
2oeyvFG0mFFDHUxhPVObNk,Tito El Bambino,Flow Natural,CL,
6XBjCetHKdO5L9cwMDVffw,Anuel Aa,Hipócrita,CL,
5iJWOGYYj1vFlJ2395UzN0,Bitamina,Pytanie do Niej,PL,
575rAm4UmzYUeBVofSpJnU,PRO8L3M,Monza,PL,
2AbDY2agHP7e5slykeHPxJ,Kortez,Z imbirem,PL,
2BEm0jdE787zcZ52nfRDu3,Kamil Bednarek,Spragniony - Live,PL,
6DarUeDo27JJ4bLuGimHGv,Coma,Uspokój się,PL,
3itsqZDPnWJgsbbkL61HND,Białas,Karate Kid,PL,
0dEaG9ztAgBuoSnYN7zCCP,Armada,"Demi Tuhan, Aku Ikhlas",ID,
4Fkt2UatA6SXHGh1g5B8VK,Rendy Pandugo,Sebuah Kisah Klasik,ID,
2wRtHWkpJ3jGMsjtqYb6RC,Afgan,Feel So Right,ID,
1vkwh3bTc5MVd9IRc7C6pw,DMA'S,Lay Down,GB,
0MCG0n0mJcCNwANtNMNUGy,Tres Caidas de Triana,La Fé,ES,
6aroOuTdVZtUTrPMcBgJM2,Los Rebujitos,Y Caíste del Cielo,ES,
0p9zxloVaytLMbORCBMfwO,Melendi,Besos a la Lona,ES,
70Nl8ZetnHpmNsYFCrzAXW,UPPERROOM,Shepherd,US,
4AyrksLYxy1R8X8IDukI0h,Jenn Johnson,Mention of Your Name,US,
5CgLKRSUpqddLIFQHgoby1,Will Reagan,Nothing Without You,US,
1MCxM27lS1cDA7py53mqRt,United Pursuit,Let It Happen (Live) [feat. Andrea Marie],US,
0SHg5WlYTIy5hgAHFtY4ib,Courteeners,Modern Love,GB,
3U2imIBWN0BnTS516Lhjfr,Jake Troth,Sunday Smile,NL,
27i5zvmXkdnmxwAsfsjSjg,Sultan + Shepard,American Dream,NL,
4cvqPryDcClG1TFo0brQTq,Afrojuice 195,Karim Benzema,ES,
6EuTRXmjGibNDtOWcysoOK,Maka,Capricho del Destino,ES,
2G6F2qOc5PwT0itUPpftyL,Natalia Lacunza,Never Enough,ES,
7jhsLtUfPLAJIX7XsGI1ON,Maki,Amor de mis amores (feat. María Artés & Calero),ES,
2cDyEnx1vdWZHarWerMois,Rapsusklei,Tanta Pena,ES,
0Kz1564ihrYZNsgE76wDI0,Golden Features,Telescope (feat. K.Flay),CA,
